Zip,Countie,Vaccine Equity Metric Quartile,Mr,16+ Population,Persons Fully Vaccinated,Persons Partially Vaccinated,Percent of Population Fully Vaccinated,Percent of Population Partially Vaccinated,Percent of Population with 1+ Dose,Redacted
92257,Imperial,1,Healthy Places Index Score,916,296,298,0.323144108,0.325327516,0.648471594,No
92281,Imperial,1,Healthy Places Index Score,1783,447,245,0.25070107,0.137408867,0.388109922,No
93549,Inyo,2,CDPH-Derived ZCTA Score,286,45,31,0.157342657,0.108391605,0.265734255,No
93526,Inyo,2,CDPH-Derived ZCTA Score,549,150,86,0.273224056,0.156648457,0.429872483,No
93522,Inyo,1,CDPH-Derived ZCTA Score,100,16,13,0.159999996,0.129999995,0.289999992,No
92384,Inyo,4,CDPH-Derived ZCTA Score,17,,,,,,Information redacted in accordance with CA state privacy requirements
92389,Inyo,2,CDPH-Derived ZCTA Score,156,,,,,,Information redacted in accordance with CA state privacy requirements
93545,Inyo,3,Healthy Places Index Score,1411,469,187,0.332388371,0.132530123,0.464918494,No
92328,Inyo,2,CDPH-Derived ZCTA Score,423,140,17,0.330969274,0.040189125,0.371158391,No
93514,Inyo,3,Healthy Places Index Score,11709,3654,1522,0.312067628,0.129985482,0.442053109,No
93513,Inyo,3,Healthy Places Index Score,1305,386,137,0.295785427,0.104980841,0.400766283,No
93222,Kern,2,Healthy Places Index Score,1389,528,213,0.380129576,0.153347731,0.533477306,No
93255,Kern,1,CDPH-Derived ZCTA Score,671,86,52,0.128166914,0.077496275,0.205663189,No
93305,Kern,1,Healthy Places Index Score,25727,5125,3249,0.199207053,0.126287565,0.325494617,No
93224,Kern,1,CDPH-Derived ZCTA Score,361,46,21,0.127423823,0.058171745,0.185595572,No
93220,Kern,1,CDPH-Derived ZCTA Score,65,32,21,0.492307693,0.323076934,0.815384626,No
93205,Kern,1,Healthy Places Index Score,1576,326,197,0.206852794,0.125,0.331852794,No
93312,Kern,3,Healthy Places Index Score,45545,14393,6760,0.316017121,0.14842464,0.464441746,No
93225,Kern,2,Healthy Places Index Score,4149,760,516,0.183176666,0.124367319,0.307543993,No
93252,Kern,1,CDPH-Derived ZCTA Score,2103,173,127,0.082263432,0.060389917,0.142653346,No
93276,Kern,2,CDPH-Derived ZCTA Score,114,16,13,0.140350878,0.114035085,0.254385978,No
93241,Kern,1,Healthy Places Index Score,11497,2381,1698,0.207097501,0.147690699,0.354788214,No
93527,Kern,2,Healthy Places Index Score,1284,249,178,0.193925232,0.138629287,0.332554519,No
93206,Kern,1,Healthy Places Index Score,1068,318,176,0.297752798,0.164794013,0.462546825,No
93505,Kern,1,Healthy Places Index Score,11121,1317,769,0.118424602,0.069148459,0.18757306,No
93243,Kern,2,Healthy Places Index Score,1328,224,139,0.168674693,0.104668677,0.273343384,No
93523,Kern,2,Healthy Places Index Score,2234,237,104,0.106087737,0.046553269,0.152640998,No
93215,Kern,1,Healthy Places Index Score,42084,12479,5705,0.296525985,0.135562211,0.432088196,No
93560,Kern,1,Healthy Places Index Score,15767,2616,1986,0.16591616,0.125959277,0.291875422,No
93304,Kern,1,Healthy Places Index Score,35508,7490,5231,0.210938379,0.147318915,0.358257294,No
93314,Kern,3,Healthy Places Index Score,21970,7498,3560,0.34128356,0.162039146,0.503322721,No
93283,Kern,1,Healthy Places Index Score,1964,288,160,0.146639511,0.081466392,0.228105903,No
93249,Kern,1,Healthy Places Index Score,1261,521,391,0.413164169,0.310071379,0.723235548,No
93203,Kern,1,Healthy Places Index Score,15169,4062,2329,0.267782986,0.153536811,0.421319783,No
93251,Kern,1,CDPH-Derived ZCTA Score,167,44,24,0.263473064,0.14371258,0.407185614,No
93524,Kern,2,CDPH-Derived ZCTA Score,165,,12,,,,No
93561,Kern,3,Healthy Places Index Score,27989,5295,3221,0.189181462,0.115080923,0.3042624,No
93238,Kern,2,CDPH-Derived ZCTA Score,553,445,171,0.804701626,0.30922243,1.113924026,No
93518,Kern,2,CDPH-Derived ZCTA Score,725,190,94,0.262068957,0.129655167,0.391724139,No
93531,Kern,4,CDPH-Derived ZCTA Score,320,156,83,0.487500012,0.259375006,0.746874988,No
93555,Kern,2,Healthy Places Index Score,25837,4165,3374,0.161202922,0.130587921,0.291790843,No
93311,Kern,3,Healthy Places Index Score,34769,14431,6634,0.415053636,0.190802157,0.605855763,No
93250,Kern,1,Healthy Places Index Score,11218,3177,1441,0.283205569,0.128454268,0.411659837,No
93280,Kern,1,Healthy Places Index Score,21496,4458,2043,0.207387418,0.09504094,0.302428365,No
93268,Kern,1,Healthy Places Index Score,13407,1839,1211,0.137167156,0.090325952,0.227493107,No
93285,Kern,2,Healthy Places Index Score,2216,582,286,0.26263538,0.129061371,0.391696751,No
93307,Kern,1,Healthy Places Index Score,60117,12027,8916,0.200059876,0.148310795,0.348370671,No
93301,Kern,1,Healthy Places Index Score,9179,2842,1447,0.309619784,0.157642439,0.467262238,No
93554,Kern,1,CDPH-Derived ZCTA Score,125,14,12,0.112000003,0.096000001,0.208000004,No
93516,Kern,1,Healthy Places Index Score,1892,241,103,0.127378434,0.054439746,0.181818187,No
93226,Kern,2,CDPH-Derived ZCTA Score,121,49,25,0.404958665,0.206611574,0.611570239,No
93240,Kern,1,Healthy Places Index Score,5228,1222,503,0.233741388,0.0962127,0.329954088,No
93313,Kern,2,Healthy Places Index Score,40297,11280,7005,0.279921591,0.173834279,0.453755856,No
93306,Kern,1,Healthy Places Index Score,51992,15423,8315,0.296641797,0.159928456,0.456570238,No
93308,Kern,1,Healthy Places Index Score,40910,8806,4596,0.215252995,0.112344168,0.327597171,No
93287,Kern,3,CDPH-Derived ZCTA Score,56,50,17,0.892857134,0.303571433,1.196428537,No
93263,Kern,1,Healthy Places Index Score,15801,3813,1952,0.241313845,0.123536482,0.364850312,No
93501,Kern,1,Healthy Places Index Score,3897,551,404,0.141390815,0.103669487,0.24506031,No
93528,Kern,1,CDPH-Derived ZCTA Score,92,,,,,,Information redacted in accordance with CA state privacy requirements
93309,Kern,1,Healthy Places Index Score,45179,12583,6533,0.278514355,0.144602582,0.423116922,No
93245,Kings,1,Healthy Places Index Score,28773,5211,2759,0.181107283,0.095888503,0.276995808,No
93204,Kings,1,Healthy Places Index Score,9252,1980,888,0.21400778,0.095979251,0.309987038,No
93212,Kings,1,Healthy Places Index Score,19324,2277,1484,0.11783275,0.076795697,0.194628447,No
93239,Kings,1,Healthy Places Index Score,886,308,163,0.347629786,0.18397291,0.531602681,No
93266,Kings,1,Healthy Places Index Score,830,349,154,0.42048192,0.185542166,0.606024086,No
93230,Kings,2,Healthy Places Index Score,50557,11525,6313,0.227960527,0.124868959,0.352829486,No
93202,Kings,1,Healthy Places Index Score,3024,630,330,0.208333328,0.109126985,0.317460328,No
95435,Lake,1,CDPH-Derived ZCTA Score,205,102,48,0.497560978,0.234146342,0.731707335,No
95453,Lake,2,Healthy Places Index Score,9642,3557,1151,0.368906856,0.119373575,0.488280445,No
95464,Lake,1,Healthy Places Index Score,1917,497,223,0.259259254,0.116327599,0.375586867,No
95485,Lake,1,Healthy Places Index Score,2283,618,186,0.270696461,0.081471749,0.352168202,No
95451,Lake,2,Healthy Places Index Score,9597,3270,1172,0.340731472,0.122121498,0.462852985,No
95493,Lake,3,CDPH-Derived ZCTA Score,377,64,26,0.16976127,0.068965517,0.238726795,No
95423,Lake,1,Healthy Places Index Score,3211,877,373,0.273123652,0.116163187,0.389286816,No
95458,Lake,1,Healthy Places Index Score,2557,637,232,0.249120057,0.090731323,0.339851379,No
95426,Lake,2,Healthy Places Index Score,1242,469,186,0.377616733,0.149758458,0.527375221,No
95461,Lake,2,Healthy Places Index Score,2187,700,316,0.320073158,0.144490167,0.46456334,No
95457,Lake,2,Healthy Places Index Score,2641,727,387,0.275274515,0.146535397,0.421809912,No
95422,Lake,1,Healthy Places Index Score,11953,2466,1419,0.206308037,0.118714966,0.325022995,No
95467,Lake,2,Healthy Places Index Score,4286,1286,593,0.300046653,0.138357446,0.438404113,No
96113,Lassen,1,CDPH-Derived ZCTA Score,1757,39,24,0.022196926,0.013659647,0.035856575,No
96123,Lassen,2,CDPH-Derived ZCTA Score,17,,,,,,Information redacted in accordance with CA state privacy requirements
96130,Lassen,2,Healthy Places Index Score,17348,2582,684,0.148835599,0.039428174,0.188263774,No
96009,Lassen,2,CDPH-Derived ZCTA Score,293,84,59,0.28668943,0.201365188,0.488054603,No
96119,Lassen,1,CDPH-Derived ZCTA Score,37,,,,,,Information redacted in accordance with CA state privacy requirements
96109,Lassen,1,CDPH-Derived ZCTA Score,741,59,44,0.079622135,0.059379216,0.139001355,No
96132,Lassen,1,CDPH-Derived ZCTA Score,48,,,,,,Information redacted in accordance with CA state privacy requirements
96136,Lassen,1,CDPH-Derived ZCTA Score,35,,,,,,Information redacted in accordance with CA state privacy requirements
96068,Lassen,1,CDPH-Derived ZCTA Score,164,,,,,,Information redacted in accordance with CA state privacy requirements
96128,Lassen,3,CDPH-Derived ZCTA Score,646,58,17,0.089783281,0.02631579,0.116099074,No
96121,Lassen,2,CDPH-Derived ZCTA Score,309,90,13,0.29126215,0.042071197,0.333333343,No
96114,Lassen,3,Healthy Places Index Score,2661,501,120,0.188275084,0.045095827,0.233370915,No
90807,Long Beach,3,Healthy Places Index Score,26928,10266,5875,0.381238848,0.218174398,0.599413276,No
90804,Long Beach,1,Healthy Places Index Score,31754,7759,6179,0.24434717,0.19458966,0.43893683,No
90803,Long Beach,4,Healthy Places Index Score,29053,11318,6336,0.389563888,0.218084186,0.607648075,No
90808,Long Beach,4,Healthy Places Index Score,32007,12943,7296,0.404380292,0.227950141,0.632330418,No
90802,Long Beach,1,Healthy Places Index Score,34056,9882,7111,0.29016912,0.208803147,0.498972267,No
90806,Long Beach,1,Healthy Places Index Score,32252,8892,6316,0.275703818,0.195832819,0.471536636,No
90813,Long Beach,1,Healthy Places Index Score,43156,8441,6809,0.195592731,0.157776445,0.353369176,No
90805,Long Beach,1,Healthy Places Index Score,71133,16919,13077,0.237850219,0.183838725,0.421688944,No
90814,Long Beach,3,Healthy Places Index Score,16842,5814,3631,0.345208406,0.215591967,0.560800374,No
90815,Long Beach,4,Healthy Places Index Score,34716,13873,10089,0.399614006,0.29061529,0.690229297,No
91731,Los Angeles,1,Healthy Places Index Score,23865,6875,4502,0.288078785,0.188644454,0.476723224,No
90606,Los Angeles,2,Healthy Places Index Score,26628,7806,5079,0.293150067,0.190739065,0.483889133,No
91724,Los Angeles,3,Healthy Places Index Score,21635,7708,4029,0.356274545,0.186226025,0.542500556,No
90022,Los Angeles,1,Healthy Places Index Score,51001,13777,9470,0.270131946,0.185682639,0.4558146,No
91706,Los Angeles,1,Healthy Places Index Score,60723,17788,12313,0.292936772,0.202773243,0.495710015,No
91343,Los Angeles,2,Healthy Places Index Score,51259,14263,8774,0.278253585,0.171169937,0.449423522,No
91411,Los Angeles,2,Healthy Places Index Score,20635,5151,3698,0.249624431,0.179210082,0.428834498,No
91401,Los Angeles,2,Healthy Places Index Score,32621,9019,5708,0.27647835,0.174979314,0.451457649,No
91354,Los Angeles,4,Healthy Places Index Score,23819,9706,5452,0.407489806,0.228892908,0.636382699,No
90025,Los Angeles,4,Healthy Places Index Score,41838,14620,9481,0.349443078,0.226612166,0.576055288,No
91345,Los Angeles,2,Healthy Places Index Score,15855,5209,3304,0.328539878,0.208388522,0.536928415,No
91403,Los Angeles,4,Healthy Places Index Score,21651,8633,4622,0.39873448,0.213477433,0.612211883,No
90301,Los Angeles,1,Healthy Places Index Score,30047,7167,5648,0.238526314,0.187972173,0.426498473,No
90249,Los Angeles,2,Healthy Places Index Score,21780,7379,4574,0.338797063,0.210009187,0.54880625,No
90275,Los Angeles,4,Healthy Places Index Score,34811,15541,8250,0.446439356,0.236994058,0.683433414,No
90201,Los Angeles,1,Healthy Places Index Score,75479,17383,14021,0.230302468,0.185760275,0.416062742,No
90710,Los Angeles,2,Healthy Places Index Score,22117,6537,4260,0.295564502,0.192612022,0.488176525,No
91722,Los Angeles,3,Healthy Places Index Score,28001,9429,5611,0.336737961,0.200385705,0.53712368,No
91504,Los Angeles,3,Healthy Places Index Score,21748,7030,4264,0.323248118,0.19606401,0.519312143,No
90065,Los Angeles,2,Healthy Places Index Score,38073,13669,8056,0.359020829,0.211593524,0.570614338,No
91791,Los Angeles,3,Healthy Places Index Score,27070,10423,5299,0.385038793,0.195751756,0.58079052,No
90035,Los Angeles,3,Healthy Places Index Score,21997,9532,5010,0.433331817,0.227758333,0.661090136,No
90260,Los Angeles,2,Healthy Places Index Score,27437,7350,5933,0.26788643,0.216240838,0.484127283,No
91355,Los Angeles,4,Healthy Places Index Score,24747,10443,5034,0.421990544,0.203418598,0.625409126,No
91606,Los Angeles,1,Healthy Places Index Score,36011,9005,6473,0.250062495,0.179750636,0.429813117,No
90002,Los Angeles,1,Healthy Places Index Score,38146,7105,5828,0.186258063,0.152781412,0.339039475,No
90270,Los Angeles,1,Healthy Places Index Score,20330,5180,3608,0.254795879,0.177471712,0.432267576,No
90220,Los Angeles,1,Healthy Places Index Score,39218,7445,6107,0.189836293,0.15571931,0.345555604,No
90031,Los Angeles,1,Healthy Places Index Score,32395,9768,6477,0.301528007,0.199938267,0.501466274,No
91733,Los Angeles,1,Healthy Places Index Score,35698,9381,6612,0.262787819,0.185220465,0.448008299,No
91203,Los Angeles,1,Healthy Places Index Score,12959,3583,2355,0.27648738,0.181726992,0.458214372,No
93543,Los Angeles,1,Healthy Places Index Score,10877,2016,1510,0.185345218,0.138825044,0.324170262,No
91030,Los Angeles,4,Healthy Places Index Score,19956,9765,5106,0.489326507,0.255862892,0.745189428,No
90746,Los Angeles,3,Healthy Places Index Score,23023,7309,3898,0.317465156,0.169308946,0.486774087,No
93534,Los Angeles,1,Healthy Places Index Score,29271,6691,4477,0.228588015,0.152950019,0.381538033,No
90277,Los Angeles,4,Healthy Places Index Score,29028,11527,7491,0.397099346,0.258061171,0.655160546,No
90503,Los Angeles,3,Healthy Places Index Score,36558,13695,9746,0.374610215,0.266590089,0.641200304,No
90745,Los Angeles,3,Healthy Places Index Score,46242,17319,10457,0.37452966,0.226136416,0.600666046,No
91001,Los Angeles,3,Healthy Places Index Score,31186,12270,6347,0.39344579,0.203520805,0.596966565,No
91208,Los Angeles,4,Healthy Places Index Score,12855,5390,2731,0.419292092,0.212446526,0.631738603,No
90062,Los Angeles,1,Healthy Places Index Score,28589,6305,4461,0.220539361,0.156039029,0.376578391,No
90028,Los Angeles,1,Healthy Places Index Score,28020,7007,5368,0.250071377,0.191577449,0.441648811,No
91046,Los Angeles,2,CDPH-Derived ZCTA Score,158,70,27,0.443037987,0.17088607,0.613924026,No
90068,Los Angeles,3,Healthy Places Index Score,18913,7462,4609,0.394543439,0.243694812,0.638238251,No
91302,Los Angeles,4,Healthy Places Index Score,21317,9925,4033,0.465590835,0.189191729,0.654782593,No
90021,Los Angeles,2,Healthy Places Index Score,2657,807,711,0.303726017,0.267595023,0.571321011,No
90402,Los Angeles,4,Healthy Places Index Score,9286,4851,2174,0.522399306,0.234115869,0.756515205,No
91351,Los Angeles,3,Healthy Places Index Score,25872,7931,4748,0.306547612,0.183518857,0.490066469,No
90240,Los Angeles,3,Healthy Places Index Score,20522,7355,4242,0.358395875,0.206705004,0.565100849,No
90001,Los Angeles,1,Healthy Places Index Score,42853,12036,15197,0.280867159,0.354630947,0.635498106,No
90401,Los Angeles,4,Healthy Places Index Score,6752,2352,1959,0.348341227,0.290136248,0.638477504,No
90071,Los Angeles,2,CDPH-Derived ZCTA Score,126,169,111,1,0.880952358,2.222222328,No
90211,Los Angeles,3,Healthy Places Index Score,6866,3292,1509,0.479464024,0.219778612,0.699242651,No
93550,Los Angeles,1,Healthy Places Index Score,55626,11565,8931,0.20790638,0.160554424,0.368460804,No
90007,Los Angeles,1,Healthy Places Index Score,37139,9037,6936,0.243329108,0.186757863,0.43008697,No
90262,Los Angeles,1,Healthy Places Index Score,52580,12373,10295,0.235317618,0.195796877,0.431114495,No
93544,Los Angeles,1,CDPH-Derived ZCTA Score,1120,231,111,0.206249997,0.099107146,0.305357128,No
91405,Los Angeles,1,Healthy Places Index Score,43762,9856,7324,0.225218222,0.167359814,0.392578036,No
91502,Los Angeles,2,Healthy Places Index Score,9489,2623,1956,0.276425332,0.20613341,0.482558757,No
90048,Los Angeles,4,Healthy Places Index Score,19596,8537,4580,0.43565014,0.233721167,0.669371307,No
91501,Los Angeles,2,Healthy Places Index Score,17549,5143,3463,0.293065131,0.197333187,0.490398318,No
91331,Los Angeles,1,Healthy Places Index Score,82437,20048,14997,0.243191764,0.181920737,0.425112516,No
90305,Los Angeles,3,Healthy Places Index Score,12964,3890,1947,0.300061703,0.150185123,0.450246841,No
91342,Los Angeles,2,Healthy Places Index Score,73610,21574,14514,0.293085188,0.197174296,0.490259469,No
90717,Los Angeles,3,Healthy Places Index Score,17548,5583,3511,0.318155915,0.200079784,0.518235683,No
90265,Los Angeles,4,Healthy Places Index Score,15486,5031,2376,0.324874073,0.153428897,0.478302985,No
91104,Los Angeles,3,Healthy Places Index Score,30527,10984,6540,0.359812617,0.214236572,0.574049175,No
91311,Los Angeles,3,Healthy Places Index Score,34615,12692,6196,0.366661847,0.178997546,0.545659423,No
90640,Los Angeles,1,Healthy Places Index Score,50331,15923,9470,0.316365659,0.188154414,0.504520059,No
90302,Los Angeles,2,Healthy Places Index Score,23399,5830,4209,0.249155954,0.179879487,0.429035425,No
91387,Los Angeles,3,Healthy Places Index Score,31481,10333,5907,0.328229725,0.187636986,0.515866697,No
90020,Los Angeles,2,Healthy Places Index Score,32637,9304,7425,0.285075217,0.227502525,0.512577772,No
93563,Los Angeles,3,CDPH-Derived ZCTA Score,350,46,30,0.13142857,0.085714288,0.21714285,No
91042,Los Angeles,2,Healthy Places Index Score,22926,6446,3710,0.281165481,0.161825001,0.442990482,No
90210,Los Angeles,4,Healthy Places Index Score,15940,9037,3368,0.566938519,0.211292341,0.778230846,No
91766,Los Angeles,1,Healthy Places Index Score,56086,13610,10140,0.242663056,0.180793777,0.423456848,No
90014,Los Angeles,2,Healthy Places Index Score,8561,2314,1837,0.270295531,0.214577734,0.484873265,No
90304,Los Angeles,1,Healthy Places Index Score,19110,4800,4312,0.2511774,0.225641027,0.476818413,No
91768,Los Angeles,1,Healthy Places Index Score,28045,6290,4454,0.224282399,0.158816189,0.383098602,No
90039,Los Angeles,3,Healthy Places Index Score,25376,10021,6140,0.39490068,0.241960913,0.636861622,No
90278,Los Angeles,4,Healthy Places Index Score,31600,12004,8660,0.379873425,0.274050623,0.653924048,No
91740,Los Angeles,3,Healthy Places Index Score,20790,7691,4106,0.369937479,0.197498798,0.567436278,No
91390,Los Angeles,4,Healthy Places Index Score,15514,4962,2616,0.319840133,0.168621883,0.488462031,No
93551,Los Angeles,3,Healthy Places Index Score,39498,11922,7313,0.30183807,0.185148612,0.486986697,No
91711,Los Angeles,4,Healthy Places Index Score,30897,12632,5409,0.408842295,0.175065547,0.583907843,No
91702,Los Angeles,2,Healthy Places Index Score,50087,13323,8944,0.265997171,0.178569287,0.444566458,No
90704,Los Angeles,2,Healthy Places Index Score,3061,1862,376,0.608297944,0.122835673,0.73113364,No
91770,Los Angeles,1,Healthy Places Index Score,52161,18921,11551,0.362742275,0.221448973,0.584191263,No
90016,Los Angeles,1,Healthy Places Index Score,38092,11126,7537,0.29208234,0.197863072,0.489945382,No
90044,Los Angeles,1,Healthy Places Index Score,73215,13394,10586,0.182940647,0.14458786,0.327528507,No
90248,Los Angeles,3,Healthy Places Index Score,9679,3036,1962,0.313668758,0.202706888,0.516375661,No
91505,Los Angeles,3,Healthy Places Index Score,25902,9709,6540,0.374835908,0.252490163,0.627326071,No
90067,Los Angeles,4,Healthy Places Index Score,2243,1716,660,0.765046835,0.29424876,1.059295535,No
93591,Los Angeles,1,Healthy Places Index Score,4937,894,608,0.181081623,0.123151712,0.304233342,No
91107,Los Angeles,4,Healthy Places Index Score,27294,12474,6256,0.457023531,0.229207888,0.686231434,No
90280,Los Angeles,1,Healthy Places Index Score,72077,19296,14323,0.267713696,0.198718041,0.466431737,No
90263,Los Angeles,4,CDPH-Derived ZCTA Score,1838,137,142,0.074537538,0.077257887,0.151795432,No
90712,Los Angeles,3,Healthy Places Index Score,25203,9053,5228,0.359203279,0.207435623,0.566638887,No
90222,Los Angeles,1,Healthy Places Index Score,23764,4663,3778,0.196221173,0.158979967,0.355201155,No
90504,Los Angeles,3,Healthy Places Index Score,27689,9769,6515,0.352811575,0.235291988,0.588103592,No
91406,Los Angeles,2,Healthy Places Index Score,43489,12018,8013,0.27634573,0.184253484,0.460599244,No
90026,Los Angeles,2,Healthy Places Index Score,58633,18095,12485,0.308614612,0.212934703,0.521549284,No
91352,Los Angeles,1,Healthy Places Index Score,37653,9642,6872,0.256075203,0.182508692,0.43858391,No
90018,Los Angeles,1,Healthy Places Index Score,42672,11410,8007,0.267388463,0.187640607,0.45502907,No
90701,Los Angeles,2,Healthy Places Index Score,13834,4875,3147,0.352392644,0.227483019,0.579875648,No
90502,Los Angeles,3,Healthy Places Index Score,15210,5293,3493,0.347994745,0.229651541,0.577646315,No
91748,Los Angeles,2,Healthy Places Index Score,39209,13538,8054,0.345277876,0.205412015,0.550689876,No
91755,Los Angeles,2,Healthy Places Index Score,23240,8709,5021,0.374741822,0.21604991,0.590791762,No
91356,Los Angeles,3,Healthy Places Index Score,25109,10475,4565,0.417181104,0.181807324,0.598988414,No
90013,Los Angeles,1,Healthy Places Index Score,12169,5040,5265,0.414167136,0.432656765,0.846823871,No
90221,Los Angeles,1,Healthy Places Index Score,38836,7612,6727,0.196003705,0.173215568,0.369219273,No
91803,Los Angeles,2,Healthy Places Index Score,24933,9949,5195,0.399029404,0.208358407,0.607387781,No
91746,Los Angeles,2,Healthy Places Index Score,23864,7246,4822,0.303637266,0.202061683,0.505698979,No
91205,Los Angeles,1,Healthy Places Index Score,32260,8133,4687,0.252107859,0.145288289,0.397396147,No
91789,Los Angeles,3,Healthy Places Index Score,37400,15572,7818,0.416363627,0.209037438,0.62540108,No
91024,Los Angeles,4,Healthy Places Index Score,9146,4314,1976,0.471681595,0.216050729,0.687732339,No
91780,Los Angeles,3,Healthy Places Index Score,28695,11835,6376,0.412441194,0.222198993,0.634640157,No
90242,Los Angeles,2,Healthy Places Index Score,33743,10369,6585,0.307293355,0.195151582,0.502444923,No
91776,Los Angeles,2,Healthy Places Index Score,33267,11760,7314,0.353503466,0.219857514,0.57336098,No
90247,Los Angeles,2,Healthy Places Index Score,39093,11324,7787,0.289668232,0.199191675,0.488859892,No
90250,Los Angeles,2,Healthy Places Index Score,74752,19204,14114,0.256902814,0.188811004,0.445713818,No
93532,Los Angeles,2,Healthy Places Index Score,2289,432,311,0.188728705,0.135867193,0.324595898,No
90293,Los Angeles,4,Healthy Places Index Score,11437,4016,2702,0.351141036,0.236250758,0.587391794,No
91602,Los Angeles,3,Healthy Places Index Score,17260,5826,3951,0.337543458,0.228910774,0.566454232,No
90272,Los Angeles,4,Healthy Places Index Score,17143,9410,4117,0.548912108,0.240156338,0.789068401,No
91750,Los Angeles,3,Healthy Places Index Score,28091,10786,4965,0.383966386,0.176746994,0.56071341,No
91773,Los Angeles,3,Healthy Places Index Score,27808,10577,5112,0.38035816,0.18383199,0.564190149,No
90043,Los Angeles,1,Healthy Places Index Score,37968,10509,5844,0.276785702,0.153919086,0.430704802,No
91741,Los Angeles,3,Healthy Places Index Score,21305,8389,4098,0.393757343,0.19234921,0.586106539,No
90274,Los Angeles,4,Healthy Places Index Score,20626,10172,5199,0.493163973,0.252060503,0.745224476,No
91364,Los Angeles,4,Healthy Places Index Score,22860,10011,4366,0.437926501,0.19098863,0.628915131,No
91732,Los Angeles,1,Healthy Places Index Score,50234,13648,9896,0.271688491,0.196998045,0.468686551,No
90061,Los Angeles,1,Healthy Places Index Score,21134,4150,3512,0.196366042,0.16617772,0.362543762,No
90040,Los Angeles,1,Healthy Places Index Score,9810,3290,2315,0.335372061,0.235983685,0.57135576,No
90505,Los Angeles,4,Healthy Places Index Score,29645,12007,7606,0.405026138,0.256569415,0.661595523,No
91108,Los Angeles,4,Healthy Places Index Score,10895,5176,2514,0.475080311,0.230748042,0.705828369,No
90056,Los Angeles,3,Healthy Places Index Score,6528,3003,1302,0.460018396,0.199448526,0.659466922,No
91006,Los Angeles,3,Healthy Places Index Score,26749,11432,6114,0.427380472,0.228569299,0.655949771,No
90290,Los Angeles,4,Healthy Places Index Score,4889,2010,1076,0.411127031,0.220085904,0.63121295,No
90292,Los Angeles,4,Healthy Places Index Score,21282,8250,5568,0.387651533,0.261629552,0.649281085,No
91506,Los Angeles,3,Healthy Places Index Score,15718,6023,3905,0.383191258,0.248441279,0.631632507,No
90232,Los Angeles,3,Healthy Places Index Score,12672,6037,3689,0.476404667,0.291114271,0.767518938,No
91384,Los Angeles,3,Healthy Places Index Score,23639,6003,3479,0.253944755,0.147172049,0.401116788,No
91344,Los Angeles,3,Healthy Places Index Score,44439,16464,8464,0.370485395,0.190463334,0.56094873,No
91436,Los Angeles,4,Healthy Places Index Score,12381,6840,2451,0.552459419,0.197964624,0.750424027,No
91423,Los Angeles,4,Healthy Places Index Score,28175,10677,5999,0.37895298,0.21291925,0.591872215,No
91321,Los Angeles,2,Healthy Places Index Score,26652,7894,4281,0.296187907,0.160625845,0.456813753,No
90029,Los Angeles,1,Healthy Places Index Score,31791,8408,6173,0.264477372,0.194174454,0.458651811,No
91010,Los Angeles,2,Healthy Places Index Score,22008,8035,4094,0.365094513,0.186023265,0.551117778,No
91402,Los Angeles,1,Healthy Places Index Score,55657,13633,9860,0.244946733,0.177156508,0.422103226,No
90004,Los Angeles,1,Healthy Places Index Score,50096,15618,10452,0.311761409,0.208639413,0.520400822,No
91381,Los Angeles,4,Healthy Places Index Score,15062,5980,3413,0.397025615,0.226596728,0.623622358,No
90041,Los Angeles,3,Healthy Places Index Score,24509,9613,4921,0.392223269,0.200783387,0.59300667,No
93535,Los Angeles,1,Healthy Places Index Score,53905,10839,7936,0.201075971,0.147221968,0.348297924,No
90063,Los Angeles,1,Healthy Places Index Score,41016,11223,7250,0.273624927,0.176760286,0.450385213,No
90038,Los Angeles,1,Healthy Places Index Score,24627,6175,4576,0.250741065,0.185812324,0.436553389,No
90405,Los Angeles,4,Healthy Places Index Score,24436,9741,6081,0.398633152,0.248854145,0.647487342,No
90023,Los Angeles,1,Healthy Places Index Score,34828,9189,6110,0.263839453,0.175433561,0.439273,No
91350,Los Angeles,4,Healthy Places Index Score,27793,11599,6177,0.417335302,0.222250208,0.639585495,No
91008,Los Angeles,4,CDPH-Derived ZCTA Score,951,374,163,0.393270254,0.17139852,0.564668775,No
90501,Los Angeles,3,Healthy Places Index Score,32933,10616,7551,0.322351456,0.22928369,0.551635146,No
91040,Los Angeles,2,Healthy Places Index Score,17280,5365,2922,0.310474545,0.169097215,0.47957176,No
91340,Los Angeles,2,Healthy Places Index Score,27625,6931,5339,0.250895917,0.193266973,0.444162905,No
90015,Los Angeles,1,Healthy Places Index Score,19127,5477,4122,0.286349148,0.215506881,0.501856029,No
91325,Los Angeles,3,Healthy Places Index Score,28912,9959,5527,0.344459057,0.191166297,0.535625339,No
91202,Los Angeles,3,Healthy Places Index Score,20116,6071,3469,0.301799566,0.172449797,0.474249363,No
91207,Los Angeles,3,Healthy Places Index Score,9314,3421,1658,0.367296547,0.178011596,0.545308113,No
91307,Los Angeles,4,Healthy Places Index Score,21389,9184,4443,0.429379582,0.207723603,0.6371032,No
91304,Los Angeles,3,Healthy Places Index Score,44009,13719,7565,0.311731696,0.171896651,0.483628362,No
91303,Los Angeles,2,Healthy Places Index Score,25085,5758,3896,0.229539558,0.155311942,0.384851515,No
